AreaName,Value
Afghanistan,505.1686957
Albania,6.1446
Algeria,1.864215652
Angola,65.48095826
Argentina,1040.903421
Australia,650.5556263
Azerbaijan,12.97632
Bangladesh,22138.03487
Belize,2.619514435
Benin,14.43115617
Bhutan,61.23768876
Bolivia (Plurinational State of),222.5615791
Brazil,4708.677181
Brunei Darussalam,2.959675042
Bulgaria,31.47349252
Burkina Faso,298.576813
Burundi,27.09510391
Cambodia,7141.196093
Cameroon,63.7798487
Central African Republic,22.10515696
Chad,129.8033648
Chile,123.9006117
China,112279.2659
Colombia,1924.09197
Comoros,97.1664887
Congo,2.897114348
Costa Rica,33.17945948
Côte d'Ivoire,278.7111121
Cuba,1027.172343
Democratic People's Republic of Korea,2168.900616
Democratic Republic of the Congo,232.2666866
Dominican Republic,756.2924648
Ecuador,1574.50786
Egypt,3493.229259
El Salvador,5.04028487
Ethiopia,39.14463
Fiji,19.59292696
France,220.3427739
French Guiana,36.55308391
Gabon,0.698569565
Gambia,127.2914671
Ghana,169.8359566
Greece,259.9798539
Guatemala,7.570857913
Guinea,1520.699528
Guinea-Bissau,106.347853
Guyana,647.4426584
Haiti,130.1066066
Honduras,5.780628
Hungary,21.29505913
India,95943.3594
Indonesia,52229.10485
Iran (Islamic Republic of),2654.5817
Iraq,586.7265965
Italy,2418.144887
Jamaica,0.119093009
Japan,7944.039783
Kazakhstan,395.1307234
Kenya,22.26123261
Kyrgyzstan,25.5172414
Lao People's Democratic Republic,1447.358709
Liberia,35.65576268
Madagascar,4694.466587
Malawi,67.8884987
Malaysia,2553.652469
Mali,585.20553
Mauritania,112.5467791
Mauritius,0.32330592
Mexico,168.8976083
Micronesia (Federated States of),0.455783953
Morocco,36.32561739
Mozambique,218.0893917
Myanmar,21431.91577
Nepal,3288.971459
Nicaragua,43.63778196
Niger,42.10122183
Nigeria,4829.09259
Pacific Islands Trust Territory,0.4193322
Pakistan,6988.392783
Panama,29.76349904
Papua New Guinea,1.754760475
Paraguay,119.420627
Peru,1424.52498
Philippines,27796.69974
Portugal,277.2722692
Republic of Korea,4542.842047
Réunion,0.165934623
Romania,50.53425391
Russian Federation,995.0696
Rwanda,12.50215826
Senegal,132.3951026
Sierra Leone,578.0859084
Solomon Islands,3.239904287
Somalia,5.976764348
South Africa,6.714704348
Spain,1090.592386
Sri Lanka,1929.152349
Sudan (former),14.30246087
Suriname,305.372687
Swaziland,0.149428696
Syrian Arab Republic,0.11088
Tajikistan,69.0947894
Thailand,33780.17119
The former Yugoslav Republic of Macedonia,20.77936
Timor-Leste,109.1578885
Togo,8.612676313
Trinidad and Tobago,8.058220435
Turkey,410.0244157
Turkmenistan,203.00728
Uganda,113.19
Ukraine,133.97384
United Republic of Tanzania,1902.614131
United States of America,9112.071424
Uruguay,927.2327948
USSR,3567.396
Uzbekistan,479.245326
Venezuela (Bolivarian Republic of),929.5936403
Viet Nam,26593.54795
Yugoslav SFR,51.66168
Zambia,21.44014174
Zimbabwe,0.363601304
